Label;Part Type;mn;mpn;part number;
10k-Res;10kΩ Resistor;;;;
Buzzer;Piezo Speaker;;;;
Driver-1;TMC2209;;;;
Driver-2;TMC2209;;;;
EDGE-MUX;Adafruit TCA9548A;;;;
Edge-Prox-0;Adafruit APDS9960 Proximity Sensor;;;Adafruit #3595;
Edge-Prox-1;Adafruit APDS9960 Proximity Sensor;;;Adafruit #3595;
Edge-Prox-2;Adafruit APDS9960 Proximity Sensor;;;Adafruit #3595;
Edge-Prox-3;Adafruit APDS9960 Proximity Sensor;;;Adafruit #3595;
IMU;Adafruit BNO085 9-DOF Orientation IMU Fusion;;;Addfruit #4754;
Lipo;4S Li-ion/LiPo 14.8 V XT60;;;;
NEMA17-1;Stepper Motor - Bipolar;;;;
NEMA17-2;Stepper Motor - Bipolar;;;;
NPN-Trans;NPN-Transistor;;;;
RBPi;Raspberry Pi 4B;;;;
Vacuum-DC;DC Vacuum Fan 12V;;;;
Wave-Prox-0;Adafruit APDS9960 Proximity Sensor;;;Adafruit #3595;
XL4015-5.1V;DC_DC_XL4015;;;;

Amount;Part Type;mn;mpn;part number;
1;10kΩ Resistor;;;;
1;4S Li-ion/LiPo 14.8 V XT60;;;;
5;Adafruit APDS9960 Proximity Sensor;;;Adafruit #3595;
1;Adafruit BNO085 9-DOF Orientation IMU Fusion;;;Addfruit #4754;
1;Adafruit TCA9548A;;;;
1;DC Vacuum Fan 12V;;;;
1;DC_DC_XL4015;;;;
1;NPN-Transistor;;;;
1;Piezo Speaker;;;;
1;Raspberry Pi 4B;;;;
2;Stepper Motor - Bipolar;;;;
2;TMC2209;;;;
