major,smartphone age,number countries,Avatar: Fire and Ash,Avengers: Endgame,Barbie,Dune,Frozen,Get Out,Interstellar,KPop Demon Hunters,My Neighbor Totoro,Spider-Man: Across the Spiderverse,Star Wars: The Rise of Skywalker,Superman (2025),Titanic,Wicked
BME,13,4,,4,,,,,,,,,,,,
ME,13,5,,,,,5,,5,5,5,5,5,,,5
ME,11,1,4,5,4,5,3,,5,,4,5,4,4,,4
ME,13,8,,,2,,4,,3,2,,4,4,,4,
BME,13,26,,,,,3,,,,,,,,,5
EE,14,1,,,,,3,,5,,,,,,,
EE,14,8,,5,4,3,4,5,5,,,4,5,,5,3
ME,11,5,,5,,,,,,,,,,,,
CE,12,12,,3,,,3,,4,,,5,,,3,
ME,12,3,,4,,,,,,,,,,,,
EE,13,5,,5,3,,3,,4,4,5,5,4,,4,4
EE,13,6,,4,,,2,,3,,,4,5,4,,
ME,10,2,,1,1,,4,5,,,,4,,5,3,3
EE,12,5,5,4,,5,4,,5,5,,,1,,,4
CE,9,19,,5,2,,4,,,,,4,,3,,2
BME,12,2,,4,3,,3,,5,5,,,,,3,2
EE,14,4,,4,3,,,,,,,,,,,
BME,11,16,2,3,3,5,2,,5,,5,3,1,,3,1
EE,11,3,,4,4,,4,5,5,5,5,5,,,5,
ME,11,15,,4,4,,4,,5,,,,,5,,5
ME,8,6,,,4,,4,,,4,,5,,4,,4
ME,15,12,,,4,4,,,,,,,,,,
BME,11,12,,,5,,3,,5,4,5,3,,,3,3
EE,14,6,,4,,,3,,5,,,4,4,,,1
EE,13,4,,,,,3,,,,,,4,,,
CE,11,3,,4,4,,5,5,,5,,,,4,4,
ME,11,5,,4,,,5,,,,,5,,,,1
ME,13,5,,4,4,3,4,5,5,,5,4,5,,4,2
CE,12,22,4,4,4,5,4,5,4,4,,5,,2,3,5
ME,12,8,,5,4,4,3,,,,4,5,3,,3,
ME,16,2,4,4,2,,5,,4,,,,,,5,
BME,14,18,,,2,,3,,,,2,,,,,
ME,13,7,5,4,,3,4,5,,,5,5,4,,,
ME,11,4,,3,4,4,5,,5,5,,,4,,,4
ME,11,5,,4,4,,4,5,,5,,4,3,5,2,4
BME,11,4,,5,4,3,4,,5,,,5,4,3,4,5
CE,14,10,,4,4,,5,5,5,,4,5,3,2,4,5
ME,14,6,,4,4,,,,,,,,,,,
CE,12,4,,3,,,,,,,,,,,,
ME,13,10,,5,3,3,3,,5,,,,,5,4,3
ME,13,2,3,4,2,,3,,,4,,3,,,4,
BME,15,3,3,5,3,5,2,,5,,,5,2,2,,
EE,12,1,,4,,4,3,5,5,,,,,,,
ME,11,2,,,,,4,,,,,5,,,,
EE,13,16,,4,,4,,,,,,,,,,
ME,12,2,,5,,,3,4,5,,,5,,3,,
CE,13,16,,5,,,3,,5,,,4,5,,4,
EE,14,6,,4,3,4,3,,4,,,,,,,
CE,11,2,3,4,,,,,,,,,,,,
EE,13,2,5,5,,5,5,4,5,4,5,5,5,,,
BME,15,3,,,3,,2,4,2,,4,,,,4,
ME,11,19,,4,,,3,,,4,5,4,,,,4
EE,12,1,,,4,,3,,1,,5,,,,,
ME,13,7,2,4,,,5,2,,5,,3,,,,
CE,14,4,,3,,3,5,,5,3,,3,4,,5,
ME,11,11,,4,4,,3,,4,,,,,,5,4
BME,14,3,,3,4,,,,,,5,5,,5,,
ME,12,9,3,,4,5,5,2,4,,5,5,4,,4,4
ME,13,25,,4,,3,3,5,5,,,4,4,,4,
EE,11,6,3,5,,3,4,,4,,3,3,,3,3,
EE,15,11,5,5,4,3,3,3,5,,5,3,1,4,,
ME,13,2,4,5,4,,4,5,5,,5,5,,5,3,3
BME,12,7,,3,,,4,,,4,,,4,,4,3
ME,14,15,,4,5,,4,,4,,,4,4,,3,5
EE,13,15,,4,,,3,5,5,,,,,,3,2
ME,10,12,,5,4,,3,,5,,4,,2,5,,
ME,9,10,,5,,,,,4,,,,,,3,
ME,10,12,,5,,,5,,,5,3,5,,,,
EE,13,6,,,5,,5,,5,,,,,,,
ME,11,5,,4,4,,3,4,5,,,4,,3,,
ME,12,14,,4,,,3,,,4,5,3,2,4,,
CE,8,6,4,5,3,5,3,3,5,4,5,5,3,3,5,
EE,14,30,,4,1,5,4,5,5,,,4,3,4,5,
EE,11,6,,5,4,5,5,,5,3,4,5,2,,5,
ME,12,6,,3,3,,3,5,4,,,3,4,4,,
ME,11,16,,4,4,5,4,4,5,5,5,5,1,,,
EE,14,2,,,4,,4,,,3,3,,,5,,5
EE,14,2,,4,4,5,3,4,4,3,5,5,3,5,,4
EE,12,1,,5,,,,4,4,4,,5,4,,,
BME,15,5,3,4,5,5,5,5,4,2,4,5,3,5,4,5
ME,14,11,,4,3,,4,,,2,5,,,,,4
BME,13,5,,,3,5,4,,5,,,,4,,,
EE,11,1,,4,4,5,3,4,2,5,,5,1,4,4,4
CE,13,6,,5,,4,3,,5,4,,5,4,,3,
ME,11,1,,5,5,,4,,4,3,,5,2,4,,
BME,13,13,,5,3,5,3,5,5,,4,4,2,,,
ME,11,2,,,,,4,,5,4,5,,,,,
ME,14,9,5,4,4,1,4,3,4,2,4,5,4,5,,
BME,11,10,,5,4,,4,,5,5,,5,3,4,3,
BME,14,15,4,5,5,,4,,5,5,4,4,3,,3,3
CE,12,5,,4,,,,,,,,,,,,
ME,10,4,4,5,,5,4,,5,3,,4,4,3,,
BME,11,9,,5,4,3,5,,5,,,,,,5,4
ME,10,8,,,3,4,5,4,,,5,,,,4,3
EE,13,1,,5,5,,,,,,,,,,,
ME,14,6,,5,5,,4,,,,,5,3,,,
ME,12,9,,5,4,5,5,,,,5,5,3,,,5
CE,11,3,,5,4,,3,,4,4,,5,,,,
CE,10,12,1,5,4,4,4,,5,4,,5,3,4,4,4
CE,11,7,,4,4,,4,,5,,,5,,,,
ME,11,4,,3,4,,3,,,4,5,5,3,4,3,
ME,15,28,,5,,,,,,,,,,,,
EE,10,12,,,,4,4,,5,,,,4,,4,
Undecided,14,3,,4,3,2,4,,5,,4,4,2,,5,
CE,12,2,,4,,,,,,,,,3,,,
ME,11,3,,5,3,,5,5,,,,5,3,5,,
EE,10,6,,3,,5,,,,,,,,,,
CE,13,3,,4,,5,3,4,5,,,4,3,,,
BME,12,10,,,5,5,5,5,5,,,,4,,5,4
EE,10,6,,4,4,5,,,,,,,,,,
CE,11,23,4,4,3,5,4,,4,,5,5,5,4,3,
EE,11,5,,4,3,,3,,,,,5,,4,5,
EE,13,6,,4,3,,5,,5,,,3,2,,4,4
ME,9,13,,5,4,5,3,,5,5,5,5,,5,4,
EE,12,2,,4,,5,3,5,5,,4,5,1,5,,
ME,14,5,,4,4,,,,,,,,,,,
ME,10,6,5,4,4,5,3,4,5,,,4,4,5,3,2
CE,14,2,,3,5,,3,,,,5,,,2,,3
CE,11,3,,,,,3,,,,,,,,3,
ME,13,3,,5,4,4,,,5,4,,5,1,5,4,3
ME,13,1,5,,4,,3,,,4,,5,,,,
BME,11,4,,4,2,3,,,,,,4,,1,,
CE,10,10,,,,4,,,4,,,,,,,
ME,12,2,,4,4,,3,,5,3,,,,4,4,5
ME,12,2,,5,4,2,4,,5,4,,5,,,3,
