Timestamp,"What is your major? (Double majors please pick your ""primary"" major.)",Which of the following do you prefer?,Which of the following best describes your opinion of AI?,Which best describes how you use AI for homework? (Remember this survey is anonymous.),At what age did you get your first smartphone?,"How many countries have you visited? Please write your answer as an integer (e.g., if you've never left the United States, write 1, if you've also been to Canada, write 2, etc.).  ",Rate the following movies. [Loved it! ],Rate the following movies. [Liked it.],Rate the following movies. [Just OK.],Rate the following movies. [Didn't like it.],Rate the following movies. [Hated it!],Rate the following movies. [Never seen it.]
1/16/2026 17:53:28,BME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,4,,Avengers: Endgame,,,,"Avatar: Fire and Ash, Barbie, Dune"
1/16/2026 17:53:47,ME,Pen-and-paper math,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,13,5,"Frozen, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Wicked",,,,,"Avatar: Fire and Ash, Avengers: Endgame, Barbie, Dune, Get Out, Superman (2025), Titanic"
1/16/2026 17:54:18,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,11,1,"Avengers: Endgame, Dune, Interstellar, Spider-Man: Across the Spiderverse","Avatar: Fire and Ash, Barbie, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Superman (2025), Wicked",Frozen,,,"Get Out, KPop Demon Hunters, Titanic"
1/16/2026 17:54:44,ME,Writing reports and making presentations,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,8,,"Frozen, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Titanic",Interstellar,"Barbie, KPop Demon Hunters",,"Avatar: Fire and Ash, Avengers: Endgame, Dune, Get Out, My Neighbor Totoro, Superman (2025), Wicked"
1/16/2026 17:55:15,BME,Writing reports and making presentations,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,26,Wicked,,Frozen,,,"Avatar: Fire and Ash, Avengers: Endgame, Barbie, Dune, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic"
1/16/2026 17:55:21,EE,Programming algorithms,I dislike it and I avoid it if I can.,I don't use AI at all.,14,1,Interstellar,,Frozen,,,"Avatar: Fire and Ash, Avengers: Endgame, Barbie, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/16/2026 17:55:29,EE,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,14,8,"Avengers: Endgame, Get Out, Interstellar, Star Wars: The Rise of Skywalker, Titanic","Barbie, Frozen, Spider-Man: Across the Spiderverse","Dune, Wicked",,,"Avatar: Fire and Ash, KPop Demon Hunters, My Neighbor Totoro, Superman (2025)"
1/16/2026 17:55:48,ME,Pen-and-paper math,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,11,5,Avengers: Endgame,,,,,"Avatar: Fire and Ash, Barbie, Dune"
1/16/2026 17:57:25,CE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,12,Spider-Man: Across the Spiderverse,Interstellar,"Avengers: Endgame, Frozen, Titanic",,,"Avatar: Fire and Ash, Barbie, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Superman (2025), Wicked"
1/16/2026 18:00:02,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,3,,Avengers: Endgame,,,,"Avatar: Fire and Ash, Barbie, Dune"
1/16/2026 18:01:38,EE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,13,5,"Avengers: Endgame, My Neighbor Totoro, Spider-Man: Across the Spiderverse","Interstellar, KPop Demon Hunters, Star Wars: The Rise of Skywalker, Titanic, Wicked","Barbie, Frozen",,,"Avatar: Fire and Ash, Dune, Get Out, Superman (2025)"
1/16/2026 18:05:09,EE,Pen-and-paper math,I dislike it and I avoid it if I can.,I only use AI to check my answers.,13,6,Star Wars: The Rise of Skywalker,"Avengers: Endgame, Spider-Man: Across the Spiderverse, Superman (2025)",Interstellar,Frozen,,"Avatar: Fire and Ash, Barbie, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Titanic, Wicked"
