index,error
0,0.011722
1,0.006722
2,0.001722
3,0.013445
4,0.008445
5,0.003445
6,0.015167
7,0.010167
8,0.005167
9,0.000167
10,0.01189
11,0.00689
12,0.00189
13,0.013612
14,0.008612
15,0.003612
16,0.015334
17,0.010334
18,0.005334
19,0.017057
20,0.012057
21,0.007057
22,0.002057
23,-0.002943
24,0.008779
25,0.003779
26,-0.001221
27,0.010502
28,0.005502
29,0.000502
30,0.012224
31,0.007224
32,0.002224
33,0.013946
34,0.008946
35,0.003946
36,-0.001054
37,-0.006054
38,0.005669
39,0.000669
40,0.012391
41,0.007391
42,0.002391
43,0.014114
44,0.009114
45,0.004114
46,0.015836
47,0.010836
48,0.005836
49,0.000836
50,0.012559
51,0.007559
52,0.002559
53,0.014281
54,0.009281
55,0.004281
56,-0.000719
57,0.011003
58,0.006003
59,0.017726
60,0.012726
61,0.007726
62,0.002726
63,-0.002274
64,0.009448
65,0.004448
66,-0.000552
67,0.011171
68,0.006171
69,0.001171
70,0.012893
71,0.007893
72,0.002893
73,0.014615
74,0.009615
75,0.004615
76,-0.000385
77,-0.005385
78,0.006338
79,0.001338
80,0.01306
81,0.00806
82,0.00306
83,0.014783
84,0.009783
85,0.004783
86,0.016505
87,0.011505
88,0.006505
89,0.001505
90,-0.003495
91,0.008227
92,0.003227
93,0.01495
94,0.00995
95,0.00495
96,0.016672
97,0.011672
98,0.006672
99,0.001672
100,0.013395
101,0.008395
102,0.003395
103,-0.001605
104,0.010117
105,0.005117
106,0.000117
107,0.011839
108,0.006839
109,0.018562
110,0.013562
111,0.008562
112,0.003562
113,0.015284
114,0.010284
115,0.005284
116,0.000284
117,0.012007
118,0.007007
119,0.002007
120,0.013729
121,0.008729
122,0.020451
123,0.015451
124,0.010451
125,0.005452
126,0.017174
127,0.012174
128,0.007174
129,0.002174
130,0.013896
131,0.008896
132,0.003896
133,-0.001104
134,0.010619
135,0.005619
136,0.017341
137,0.012341
138,0.007341
139,0.002341
140,0.014064
141,0.009064
142,0.004064
143,-0.000936
144,0.010786
145,0.005786
146,0.000786
147,0.012508
148,0.007508
149,0.019231
150,0.014231
151,0.009231
152,0.004231
153,0.015953
154,0.010953
155,0.005953
156,0.000953
157,0.012676
158,0.007676
159,0.002676
160,0.014398
161,0.009398
162,0.004398
163,0.01612
164,0.01112
165,0.00612
166,0.017843
167,0.012843
168,0.007843
169,0.002843
170,0.014565
171,0.009565
172,0.004565
173,-0.000435
174,0.011288
175,0.006288
176,0.01801
177,0.01301
178,0.00801
179,0.019732
180,0.014732
181,0.009732
182,0.004732
183,-0.000268
184,0.011455
185,0.006455
186,0.001455
187,0.013177
188,0.008177
189,0.003177
190,0.0149
191,0.0099
192,0.0049
193,0.016622
194,0.011622
195,0.006622
196,0.001622
197,0.013345
198,0.008345
199,0.003345
200,0.015067
201,0.010067
202,0.005067
203,0.016789
204,0.011789
205,0.006789
206,0.018512
207,0.013512
208,0.008512
209,0.003512
210,-0.001488
211,0.010234
212,0.005234
213,0.016956
214,0.011956
215,0.006956
216,0.001956
217,0.013679
218,0.008679
219,0.020401
220,0.015401
221,0.010401
222,0.005401
223,0.000401
224,0.012124
225,0.007124
226,0.002124
227,0.013846
228,0.008846
229,0.003846
230,0.015569
231,0.010569
232,0.005569
233,0.017291
234,0.012291
235,0.007291
236,0.002291
237,-0.002709
238,0.009013
239,0.004013
240,0.015736
241,0.010736
242,0.005736
243,0.000736
244,0.012458
245,0.007458
246,0.019181
247,0.014181
248,0.009181
249,0.004181
250,-0.000819
251,0.010903
252,0.005903
253,0.017625
254,0.012625
255,0.007625
256,0.002625
257,0.014348
258,0.009348
259,0.02107
260,0.01607
261,0.01107
262,0.00607
263,0.00107
264,0.012793
265,0.007793
266,0.002793
267,0.014515
268,0.009515
269,0.004515
270,0.016237
271,0.011238
272,0.006238
